"gene_name"	"refseq"	"other"	"new_name"	"tot_umis"
"AWD2;ECU06_1530;LOC100101186;LOC100207502;LOC100283650;LOC100283855;LOC100381602;LOC100527141;LOC100527475;LOC100811753;LOC103839150;LOC103853542;LOC547709;LOC547870;NDK;NDK-1;NDPK1;NDPK3;NME3;NME3.S"	""	"AWD2_other;ECU06_1530_other;NDK_other;NDK-1_other;NDPK1_other;NDPK3_other;NME3_other;NME3.S_other"	NA	144823
"ACP;LOC100159145;LOC100166849;LOC100286300;LOC100305656;LOC100306438;LOC100499669;LOC733017;MTACP-1;MTACP1;ND-ACP;NDUFAB1.L;NDUFAB1A;NDUFAB1B;SPAC4H3.09;Y56A3A.19"	""	"ACP_other;MTACP-1_other;MTACP1_other;ND-ACP_other;NDUFAB1.L_other;NDUFAB1A_other;NDUFAB1B_other;SPAC4H3.09_other;Y56A3A.19_other"	NA	134096
"1700073E17RIK;1700084J12RIK;AGOS_AFL082W;AT3G13580;ECU02_0750I;F10A8.13; F10A8_13;F6E13.25;GM5766;LOC100166754;LOC100191368;LOC100280746;LOC100281870;LOC100281971;LOC100282330;LOC100305682;LOC100306107;LOC100306213;LOC100500005;LOC100500011;LOC100813342;LOC101251486;LOC102577601;LOC102577695;LOC102582959;LOC105205721;LOC105387235;LOC106108067;LOC106108907;LOC106117326;LOC106128423;LOC107984035;LOC112292635;LOC112293046;LOC367195;RLP7;RPL-7;RPL-7A;RPL7.L;RPL701;RPL702;RPL7A;RPL7A.S;RPL7B;RPL7L1.L;RPL8A;RPL8B"	""	"AGOS_AFL082W_other;AT3G13580_other;ECU02_0750I_other;F6E13.25_other;GM5766_mm9;RLP7_other;RPL-7_other;RPL-7A_other;RPL7.L_other;RPL701_other;RPL702_other;RPL7A_mm9;RPL7A.S_other;RPL7B_other;RPL7L1.L_other;RPL8A_other;RPL8B_other"	"GM5766_mm9;RPL7A_mm9"	125129
"LOC100268138;LOC100280770;LOC100830442;LOC101764670;LOC103643066;LOC103970745;LOC110485089;RPL-38;RPL38.L;T16L24.90;T1O24.20"	""	"RPL-38_other;RPL38.L_other;T16L24.90_other;T1O24.20_other"	NA	123367
"RL14;RPL14.S"	""	"RL14_other;RPL14.S_other"	NA	112335
"LOC100165946;LOC100499789;LOC100533263;LOC100813255;LOC103969323;LOC106109780;LOC106121229;LOC11435125;RPL-18;T30B22.13"	""	"RPL-18_other;T30B22.13_other"	NA	106299
"OAZ1;OAZ1-PS;OAZ1.S;OAZ1A;OAZ1S;OAZ2A"	""	"OAZ1_mm9;OAZ1-PS_mm9;OAZ1.S_other;OAZ1A_other;OAZ1S_other;OAZ2A_other"	"OAZ1_mm9;OAZ1-PS_mm9"	105585
"AGOS_ADR258W;F20L16.100; F20L16_100;F7B19.13; F7B19_13;LOC100169216;LOC100194265;LOC100283242;LOC100284613;LOC100527911;LOC105383481;LOC106111496;LOC106120838;RPS-16;RPS1601;RPS1602;RPS16A;RPS16B"	""	"AGOS_ADR258W_other;RPS-16_other;RPS1601_other;RPS1602_other;RPS16A_other;RPS16B_other"	NA	102982
"AGOS_ABL138W;LOC100217257;LOC105011047;MOK9.14; MOK9_14;RPS3.L;RPS3.S"	""	"AGOS_ABL138W_other;RPS3.L_other;RPS3.S_other"	NA	101909
"1600029O15RIK;AA413626;AGOS_AEL137W;ECU07_1410;F17L21.19; F17L21_19;LOC100167382;LOC100194089;LOC100272465;LOC100280639;LOC100305777;LOC100306009;LOC100499784;LOC101867070;LOC102577682;LOC105420970;LOC106111636;LOC106119529;LOC112288138;LOC112291162;LOC541667;RGD1359290;RL17;RPL-17;RPL17;RPL17-PS10;RPL17.S;RPL1701;RPL1702;RPL17A;RPL17B;T1F15.11; T1F15_11;Y48G8AL.7"	""	"AA413626_mm9;AGOS_AEL137W_other;ECU07_1410_other;RGD1359290_other;RL17_other;RPL-17_other;RPL17_mm9;RPL17-PS10_other;RPL17.S_other;RPL1701_other;RPL1702_other;RPL17A_other;RPL17B_other;Y48G8AL.7_other"	"AA413626_mm9;RPL17_mm9"	99523
"AT3G07590;LOC100281963;LOC100284787;LOC100286216;LOC100778485;LOC106122759;LOC732940;SMD1;SNR-3;SNRPD1.L;T5J8.16; T5J8_16"	""	"AT3G07590_other;SMD1_other;SNR-3_other;SNRPD1.L_other"	NA	80517
"AT3G12390;ICD-2;LOC100217069;LOC100499943;LOC100500056;LOC100780632;LOC106101822;LOC106123952;NACA2;NACA3;NACALPHA"	""	"AT3G12390_other;ICD-2_other;NACA2_other;NACA3_other;NACALPHA_other"	NA	74055
"ANTKMT;ATPSCKMT;ATPSCKMT.S;FER2-1;FER3;FER4;FERRITIN;FRIH;FTH1.1.L;FTH1.2.L;FTH1P3;FTHL17;FTHL17-PS1;FTHL17B;FTHL17C;FTHL17D;FTHL17E;FTHL17F;FTHL18;FTHL27;FTHL28;FTHL30;FTHL31;FTMT.S;FTN-1;FTN-2;GM8749;H-1;LOC100036818;LOC100036823;LOC100136293;LOC100136294;LOC100136295;LOC100136565;LOC100194637;LOC100313596;LOC100528068;LOC100533455;LOC100778273;LOC100810000;LOC102577492;LOC102581985;LOC103191598;LOC103191600;LOC103393642;LOC103930157;LOC104919244;LOC105327516;LOC105343056;LOC105645740;LOC106433816;LOC107789800;LOC107890938;LOC107904058;LOC107931829;LOC108329281;LOC114165968;LOC542392;LOC542553;LOC547698;LOC691895;MGC53066;MGC68606;MGC75752;MGC76132;MGC76132.L;MGC79725;PFE2;SFERH-2;SFERH-3;SFERH-4;ZGC:56095"	""	"ANTKMT_other;ATPSCKMT_mm9;ATPSCKMT.S_other;FER2-1_other;FER3_other;FER4_other;FERRITIN_other;FRIH_other;FTH1.1.L_other;FTH1.2.L_other;FTH1P3_hg19;FTHL17_hg19;FTHL17-PS1_mm9;FTHL17B_mm9;FTHL17C_mm9;FTHL17D_mm9;FTHL17E_mm9;FTHL17F_mm9;FTHL18_hg19;FTHL27_other;FTHL28_other;FTHL30_other;FTHL31_other;FTMT.S_other;FTN-1_other;FTN-2_other;GM8749_other;H-1_other;MGC53066_other;MGC68606_other;MGC75752_other;MGC76132_other;MGC76132.L_other;MGC79725_other;PFE2_other;SFERH-2_other;SFERH-3_other;SFERH-4_other;ZGC:56095_other"	"ATPSCKMT_mm9;FTHL17-PS1_mm9;FTHL17B_mm9;FTHL17C_mm9;FTHL17D_mm9;FTHL17E_mm9;FTHL17F_mm9"	73415
"DKFZP459B1215;LOC100117842;NAP1L1.L;NAP1L1.S;NAP1L4A;NP1L1"	""	"DKFZP459B1215_other;NAP1L1.L_other;NAP1L1.S_other;NAP1L4A_other;NP1L1_other"	NA	64726
