gene_name	type	organism
PDGFC	refseq	orycun2
EIF3S6IP	other	
LOC100349090	refseq	orycun2
CTSO	refseq	orycun2
TDO2	refseq	orycun2
ASIC5	refseq	orycun2
GUCY1B3	refseq	orycun2
GUCY1A1	other	
GUCY1A1	other	hg19
GUCY1A3	refseq	orycun2
MAP9	refseq	orycun2
LOC103350662	refseq	orycun2
LOC108178073	refseq	orycun2
NPY2R	refseq	orycun2
HNRNPA3.L	other	
LOC100348667	refseq	orycun2
PFD4	other	
LOC103350700	refseq	orycun2
TRIM2	refseq	orycun2
LOC108178074	refseq	orycun2
MND1	refseq	orycun2
GM7102	other	mm9
KIAA0922	refseq	orycun2
TLR2	refseq	orycun2
RNF175	refseq	orycun2
SFRP2	refseq	orycun2
LOC108178076	refseq	orycun2
LOC103350667	refseq	orycun2
SMP2	other	
SMP1	other	
LOC103629005	other	
LOC100502246	other	
ZF(CCHC)-12	other	
SLUH-7	other	
AT3G45950	other	
DCHS2	refseq	orycun2
LOC100384280	other	
LOC103350669	refseq	orycun2
PLRG1	refseq	orycun2
FGB	refseq	orycun2
FGA	refseq	orycun2
FGG	refseq	orycun2
LOC108178038	refseq	orycun2
LRAT	refseq	orycun2
LOC103350672	refseq	orycun2
LOC103350671	refseq	orycun2
RBM46	refseq	orycun2
LOC100355219	refseq	orycun2
FHDC1	refseq	orycun2
LOC108178039	refseq	orycun2
ARFIP1	refseq	orycun2
TIGD4	refseq	orycun2
TMEM154	refseq	orycun2
LOC103350702	refseq	orycun2
FBXW7	refseq	orycun2
LOC644936	other	hg19
GATB	refseq	orycun2
FAM160A1	refseq	orycun2
SH3D19	refseq	orycun2
PRS27	other	
PRSS32	other	
PRSS32	other	mm9
LOC448801	other	
PRSS48	refseq	orycun2
MTARC2	other	
MTARC2	other	hg19
RPS3A	refseq	orycun2
LRBA	refseq	orycun2
C5H4ORF46	other	
MAB21L2	refseq	orycun2
LOC729558	other	hg19
TRA2B.L	other	
NBEAA	other	
DCLK2	refseq	orycun2
DCLK2A	other	
LOC108178079	refseq	orycun2
LOC108178080	refseq	orycun2
LOC100358706	refseq	orycun2
IQCM	other	
IQCM	other	hg19
LOC100340830	refseq	orycun2
LINC02355	other	hg19
LOC103350681	refseq	orycun2
LOC103350682	refseq	orycun2
NR3C2	refseq	orycun2
MRA	other	
MRB	other	
ARHGAP10	refseq	orycun2
PRMT9	refseq	orycun2
TMEM184C	refseq	orycun2
LOC100305135	other	
EDNRA	refseq	orycun2
TTC29	refseq	orycun2
POU4F2	refseq	orycun2
SLC10A7	refseq	orycun2
REELD1	other	hg19
LSM6	refseq	orycun2
ZFP827	other	mm9
ZNF827	refseq	orycun2
C15H4orf51	refseq	orycun2
LOC108178082	refseq	orycun2
MMAA	refseq	orycun2
HINT2.S	other	
LOC100527347	other	
LOC100785079	other	
SMAD1	refseq	orycun2
OTUD4	refseq	orycun2
ABCE1	refseq	orycun2
ANAPC10	refseq	orycun2
HHIP	refseq	orycun2
LOC108178083	refseq	orycun2
LOC100343073	refseq	orycun2
LOC108178084	refseq	orycun2
LOC100192796	other	
PERPA	other	
PERPB	other	
GYPA	refseq	orycun2
FREM3	refseq	orycun2
FREM2B	other	
SMARCA5	refseq	orycun2
GAB1	refseq	orycun2
USP38	refseq	orycun2
GCNT4A	other	
INPP4B	refseq	orycun2
IL15	refseq	orycun2
NBDY	other	hg19
LOC100171857	other	
NBDY	other	mm9
SPOP-1	other	
ZNF330	refseq	orycun2
RNF150	refseq	orycun2
TBC1D9	refseq	orycun2
UCP1	refseq	orycun2
ELMOD2	refseq	orycun2
LLPHP3.S	other	
MGAT4D	refseq	orycun2
PPP4R1.S	other	
PPP4R1L	other	hg19
CLGN	refseq	orycun2
SCOC	refseq	orycun2
SCOC-AS1	other	hg19
LOC100190346	other	
RPL32.L	other	
MAML3	refseq	orycun2
LOC101927516	other	hg19
MGST2	refseq	orycun2
SETD7	refseq	orycun2
RAB33B	other	hg19
RAB33B	other	
LOC108178085	refseq	orycun2
NAA15	refseq	orycun2
NDUFC1	refseq	orycun2
MGARP	refseq	orycun2
ELF2	refseq	orycun2
ELF2A	other	
NOCT	refseq	orycun2
LOC108178087	refseq	orycun2
LOC105377448	other	hg19
LINC00499	other	hg19
SLC7A11	refseq	orycun2
SLC7A11-AS1	other	hg19
LINC00616	other	hg19
NDUFAF7.S	other	
CG17726	other	
LINC02172	other	hg19
PCDH18	refseq	orycun2
LOC103188690	other	
K07A12.4	other	
MKRN1.S	other	
MKRN4P	other	
MKRN7P	other	hg19
LOC105045817	other	
EF1A-C	other	
LOC544055	other	
LOC106371602	other	
EEF-1A.1	other	
LOC105338957	other	
TEF102	other	
EF1A-A	other	
TEFS1	other	
LOC100807572	other	
EEF1A2	other	hg19
LOC103171720	other	
LOC548620	other	
AGOS_ADL370C	other	
T6D22.2; T6D22_2	other	
LOC107411323	other	
LOC542581	other	
LOC100037748	other	
T6D22.31	other	
EF4	other	
T6D22.3	other	
LOC103630200	other	
EF1A	other	
LOC542555	other	
LOC107826390	other	
LOC103447859	other	
LOC107422504	other	
LOC107917986	other	
LOC107924550	other	
LOC107930743	other	
LOC107933680	other	
LOC107934194	other	
LOC107945710	other	
LOC103635498	other	
LOC105691845	other	
EEF-1A.2	other	
EEF1A2	other	mm9
EEF1A2	other	
EEF1ALPHA1	other	
42SP50.L	other	
LINC00613	other	hg19
MIR1256	other	hg19
LOC103350695	refseq	orycun2
LOC100345604	refseq	orycun2
LINC02485	other	hg19
LOC108178042	refseq	orycun2
PABPC4L	refseq	orycun2
LOC106373247	other	
EMB3010	other	
UBE2E1	other	hg19
UBE2E1	other	
MIR466	other	
PRSS12	refseq	orycun2
LOC103350713	refseq	orycun2
LOC103350714	refseq	orycun2
LOC100350425	refseq	orycun2
NDST3	other	
LOC106115734	other	
PKMA	other	
KPYK	other	
PKM.L	other	
PKM.S	other	
PKMB	other	
LOC101737082	other	
PYK-1	other	
TRAM1L1	refseq	orycun2
SINHCAF	other	
SINHCAF	other	hg19
SINHCAFL	other	
NDUFB4.L	other	
NDUFB4C	other	mm9
LOC100217069	other	
ICD-2	other	
NACA2	other	
LOC100499943	other	
LOC100780632	other	
NACA3	other	
LOC101928731	other	hg19
NDST4	refseq	orycun2
UGT8	refseq	orycun2
LOC108178089	refseq	orycun2
ARSJ	refseq	orycun2
CAMK2D	refseq	orycun2
LOC108178090	refseq	orycun2
CAMK2D1	other	
CAMK2D2	other	
ANK2	refseq	orycun2
MIR8082	other	hg19
MIR1243	other	hg19
MIR1243	other	
LOC103350719	refseq	orycun2
GM6607	other	mm9
AT5G62300	other	
LOC106102915	other	
LOC100194044	other	
LOC100500179	other	
LOC100500017	other	
AT3G47370	other	
LOC100306473	other	
LOC100803623	other	
AT3G45030	other	
LOC695327	other	
RPS-20	other	
LOC101245205	other	
LOC108178091	refseq	orycun2
LARP7	refseq	orycun2
MIR302B	refseq	orycun2
MIR302C	refseq	orycun2
MIR302A	refseq	orycun2
MIR302D	refseq	orycun2
MIR367	refseq	orycun2
ZGRF1	refseq	orycun2
NEUROG2	refseq	orycun2
TOMM20B	other	
TOMM20A	other	
GS1-124K5.11	other	hg19
LOC106125767	other	
ALPK1	refseq	orycun2
TIFA	refseq	orycun2
AP1AR	refseq	orycun2
FAM241A	other	hg19
C15H4orf32	refseq	orycun2
D030025E07RIK	other	mm9
LOC103350722	refseq	orycun2
PITX2	refseq	orycun2
LOC108178092	refseq	orycun2
PANCR	other	hg19
ENPEP	refseq	orycun2
ELOVL6	refseq	orycun2
EGF	refseq	orycun2
LRIT3	refseq	orycun2
RRH	refseq	orycun2
GAR1	refseq	orycun2
LOC103350725	refseq	orycun2
CFI	refseq	orycun2
RGD1564319	other	
PLA2G12A	refseq	orycun2
PLA2G12A.S	other	
CASP6	refseq	orycun2
MCUB	refseq	orycun2
LOC103350726	refseq	orycun2
LOC100344248	refseq	orycun2
LOC103350727	refseq	orycun2
LOC693109	other	
RSR1	other	
RAP-3	other	
LOC105017798	other	
LOC105022336	other	
COL25A1	refseq	orycun2
ETNPPL	refseq	orycun2
LOC108178060	refseq	orycun2
OSTC	refseq	orycun2
LOC108178094	refseq	orycun2
RPL34	refseq	orycun2
LOC101929621	other	hg19
HNRNPA1B	other	
HNRNPA1A	other	
LEF1-AS1	other	hg19
LEF1	refseq	orycun2
HADH	refseq	orycun2
LOC100353947	refseq	orycun2
SGMS2	refseq	orycun2
LOC108178096	refseq	orycun2
CYP2U1-AS1	other	hg19
PAPSS1	refseq	orycun2
MET14	other	
PAPSS1.L	other	
PAPSS1.S	other	
LOC576349	other	
DKK2	refseq	orycun2
T5E8.310; T5E8_310	other	
RPS15	other	
MDC12.3; MDC12_3	other	
LINC02173	other	hg19
GIMD1	refseq	orycun2
AIMP1	refseq	orycun2
TBCK	refseq	orycun2
LOC100341883	refseq	orycun2
NPNT	refseq	orycun2
LOC106123952	other	
LOC106101822	other	
NACALPHA	other	
LOC100500056	other	
AT3G12390	other	
GSTCD	refseq	orycun2
GSTCD-AS1	other	hg19
SNORA78	other	hg19
INTS12	refseq	orycun2
ARHGEF38	refseq	orycun2
ACTG1.L	other	
ACT79B	other	
ACTG1P17	other	hg19
ACTG1P20	other	hg19
PPA2	refseq	orycun2
TET2	refseq	orycun2
COX7C	other	mm9
GM12338	other	mm9
LOC103350737	refseq	orycun2
F9G14.270; F9G14_270	other	
LOC100500013	other	
LOC105348430	other	
LOC100306064	other	
LOC101252131	other	
LOC103350738	refseq	orycun2
GOGA7	other	
LOC103350739	refseq	orycun2
CXXC4-AS1	other	hg19
LOC108178098	refseq	orycun2
LOC108178099	refseq	orycun2
CXXC4	refseq	orycun2
TACR3	refseq	orycun2
LOC100009332	refseq	orycun2
LOC100342648	refseq	orycun2
CENPE	refseq	orycun2
BDH2	refseq	orycun2
SLC9B2	refseq	orycun2
SLC9B1	refseq	orycun2
LOC100346219	refseq	orycun2
CISD2	refseq	orycun2
LOC108178101	refseq	orycun2
UBE2D3	refseq	orycun2
MANBA	refseq	orycun2
NFKB1	refseq	orycun2
LOC103350741	refseq	orycun2
SLC39A8	refseq	orycun2
BANK1	refseq	orycun2
PPP3CA	refseq	orycun2
TAX-6	other	
CANA-14F	other	
PP2B-14D	other	
PPP3CA.S	other	
LRRC40.L	other	
EMCN	refseq	orycun2
DDIT4L	refseq	orycun2
LOC100348415	refseq	orycun2
DNAJB14	refseq	orycun2
LOC100216841	other	
LOC100282430	other	
LAMTOR3	refseq	orycun2
DAPP1	refseq	orycun2
HIS2AV	other	
LOC103350745	refseq	orycun2
GM5105	other	mm9
LOC108178061	refseq	orycun2
C4ORF54	other	hg19
LOC103350746	refseq	orycun2
MTTP	refseq	orycun2
TRMT10A	refseq	orycun2
C15H4orf17	refseq	orycun2
SMD1	other	
LOC100281963	other	
LOC100284787	other	
LOC100778485	other	
T5J8.16; T5J8_16	other	
AT3G07590	other	
LOC100286216	other	
SNR-3	other	
LOC106122759	other	
LOC732940	other	
SNRPD1.L	other	
ADH1A	refseq	orycun2
ADH1C	other	hg19
ADH1B	other	
ADH1B	other	hg19
LOC102123413	other	
LOC100349939	refseq	orycun2
RAB1AB	other	
LOC107829726	other	
YPT1	other	
ASRNA:CR45798	other	
LOC100808333	other	
LOC100350426	refseq	orycun2
LOC100343992	refseq	orycun2
VEZF1.L	other	
VEZF1.S	other	
ADH2-1	refseq	orycun2
ADH6	other	hg19
ADH6	other	
ADH2-2	refseq	orycun2
ADH5	refseq	orycun2
METAP1	refseq	orycun2
LOC100283250	other	
METAP1.S	other	
MIR1956	other	
MIR1956	other	mm9
EIF4E	refseq	orycun2
TRIM39	other	hg19
TRIM39	other	
TRIM39	other	mm9
MOSPD3.L	other	
LOC422214	other	
LOC100190722	other	
LOC100160944	other	
LOC100163642	other	
LOC106117036	other	
LOC100280855	other	
LOC105388552	other	
NCBP-2	other	
F26A3.1	other	
NCBP2L	other	hg19
CBC2	other	
LINC00216	other	hg19
LOC105377342	other	hg19
TSPAN5	refseq	orycun2
RAP1GDS1	refseq	orycun2
RAP1GDS1.S	other	
RAP1GDS1.L	other	
TSPAN5.L	other	
TSPAN5A	other	
STPG2	refseq	orycun2
GM32693	other	mm9
LOC103350749	refseq	orycun2
DKFZP459B1215	other	
NAP1L1.S	other	
NAP1L1.L	other	
NP1L1	other	
LOC100117842	other	
NAP1L4A	other	
ABCF2.L	other	
LOC100785099	other	
LOC100274199	other	
LOC100280013	other	
LOC732866	other	
CG9281	other	
ABCF-2	other	
ARB1	other	
CG9330	other	
ABCF-3	other	
SPBC16H5.08C	other	
SPCC825.01	other	
LOC100382096	other	
ABCF4	other	
LOC100192636	other	
AGOS_AFR232C	other	
ABCF-1	other	
LOC103452587	other	
PDHA2	refseq	orycun2
UNC5C	refseq	orycun2
BMPR1B	refseq	orycun2
BMPR1AB	other	
BMPR1B-DT	other	hg19
PDLIM5	refseq	orycun2
LOC108178106	refseq	orycun2
LOC100352944	refseq	orycun2
HPGDS	refseq	orycun2
SMARCAD1	refseq	orycun2
ATOH1	refseq	orycun2
LOC103350753	refseq	orycun2
GRID2	refseq	orycun2
1700066C05RIK	other	
LOC108178108	refseq	orycun2
NUSAP1.S	other	
CCSER1	refseq	orycun2
PABPC4.L	other	
GLUD2	other	hg19
LOC108178109	refseq	orycun2
MMRN1	refseq	orycun2
SUMO1P1	other	hg19
LOC491788	other	
SNCA	refseq	orycun2
LDHBB	other	
LDHBA	other	
LDH	other	
LDH1	other	
ALG14-AS1	other	hg19
GPRIN3	refseq	orycun2
TIGD2	refseq	orycun2
FAM13A	refseq	orycun2
CBFA2T3	other	
CBFA2T3	other	hg19
FAM13A-AS1	other	hg19
LOC100344750	refseq	orycun2
NAP1L5	refseq	orycun2
HERC3	other	hg19
PYURF	refseq	orycun2
PIGY	refseq	orycun2
HERC5	refseq	orycun2
BOD1L2	other	hg19
LOC108178049	refseq	orycun2
LOC100345779	refseq	orycun2
PPM1K	refseq	orycun2
LOC108178110	refseq	orycun2
LOC100008640	refseq	orycun2
LOC103350759	refseq	orycun2
ABCG2	other	hg19
LOC103350818	refseq	orycun2
LOC100346814	refseq	orycun2
ABCG2A	other	
ABCG2D	other	
ABCG2	other	
ABCG2.L	other	
ABCG3L4	other	
ABCG3	other	
ABCG3	other	mm9
ABCG3L2	other	
ABCG3L3	other	
ABCG3L1	other	
PKD2	refseq	orycun2
SPP1	refseq	orycun2
MEPE	refseq	orycun2
IBSP	refseq	orycun2
HSD17B11	other	
DMP1	refseq	orycun2
PRDM4.L	other	
DSPP	refseq	orycun2
BIRC8	refseq	orycun2
SPARCL1	refseq	orycun2
NUDT9	refseq	orycun2
LOC103350760	refseq	orycun2
LOC100348005	refseq	orycun2
LOC100348252	refseq	orycun2
HSD17B13	other	hg19
HELQ	refseq	orycun2
MRPS18C	refseq	orycun2
FAM175A	refseq	orycun2
DYNLT3.L	other	
GPAT3	refseq	orycun2
LOC108178112	refseq	orycun2
CIRBP	other	mm9
NKX6-1	refseq	orycun2
CDS1	refseq	orycun2
WDFY3	refseq	orycun2
WDFY3-AS2	other	hg19
CBLL1.L	other	
LOC100350768	refseq	orycun2
RING1.S	other	
SCE	other	
ARHGAP24	refseq	orycun2
NUFIP2.L	other	
ZGC:171775	other	
MAPK10	refseq	orycun2
MAPK8.L	other	
MAPK10.L	other	
PTPN13	refseq	orycun2
SLC10A6	refseq	orycun2
C15H4orf36	refseq	orycun2
C4ORF36	other	hg19
LOC108178113	refseq	orycun2
AFF1	refseq	orycun2
KLHL8	refseq	orycun2
IGFBP3	other	
LOC103350765	refseq	orycun2
LOC108178063	refseq	orycun2
HPSE	refseq	orycun2
COQ2	refseq	orycun2
PLAC8	refseq	orycun2
LOC108178115	refseq	orycun2
COPS4	refseq	orycun2
LOC100183592	other	
LIN54	refseq	orycun2
THAP9	refseq	orycun2
SNORD144	other	hg19
SNORD143	other	hg19
SEC31A	refseq	orycun2
SCD5	refseq	orycun2
DESAT1	other	
TMEM150C	refseq	orycun2
SVIL-AS1	other	hg19
ENOPH1	refseq	orycun2
HNRNPDL	refseq	orycun2
HNRNPD	refseq	orycun2
LOC103350768	refseq	orycun2
EEF1D	other	
GM38413	other	mm9
RASGEF1B	refseq	orycun2
LOC108178064	refseq	orycun2
PRKG2	refseq	orycun2
PRKG2.L	other	
LOC100533328	other	
BMP3	refseq	orycun2
C15H4orf22	refseq	orycun2
CFAP299	other	
BRD7P3	other	hg19
CFAP299	other	hg19
CFAP299.L	other	
FGF5	refseq	orycun2
PRDM8	refseq	orycun2
ANTXR2	refseq	orycun2
LOC100348918	refseq	orycun2
PCAT4	other	hg19
LINC00989	other	hg19
GK2	refseq	orycun2
NAA11	refseq	orycun2
LINC01088	other	hg19
PAQR3	refseq	orycun2
BMP2K	refseq	orycun2
LINC01094	other	hg19
LOC108178118	refseq	orycun2
GM33100	other	
ANXA3	refseq	orycun2
CSN5	other	
CSN5A	other	
FRAS1	refseq	orycun2
SNORD161	other	hg19
AGOS_AFR642C	other	
AGOS_ADL395C	other	
AGOS_AER457W	other	
AGOS_AFR752W	other	
LOC105632962	other	
TWIN	other	
MRPL1	refseq	orycun2
CNOT6L	refseq	orycun2
TBA	other	
TUBA1A	other	hg19
LOC106557476	other	
TUBA1A	other	
TUBA1A	other	mm9
Y19D2B.1	other	
TUA6	other	
TUA4	other	
LOC103189263	other	
LOC100037751	other	
LBP-3	other	
ALPHATUB67C	other	
TUA3	other	
LOC107902033	other	
LOC107939551	other	
LOC107955533	other	
LOC105167662	other	
TUA5	other	
LOC105030354	other	
TBA-4	other	
TBA-1	other	
TBA1A	other	
TUBA5	other	
TUBA8L3	other	
CG7794	other	
CXCL13	refseq	orycun2
CCNG2	refseq	orycun2
CCNI	refseq	orycun2
SEPT11	refseq	orycun2
SOWAHB	refseq	orycun2
SHROOM3	refseq	orycun2
CCDC158	refseq	orycun2
STBD1	refseq	orycun2
FAM47E	refseq	orycun2
SCARB2	refseq	orycun2
NUP54	refseq	orycun2
ART3	refseq	orycun2
CXCL11	refseq	orycun2
CXCL10	refseq	orycun2
CXCL9	refseq	orycun2
SDAD1-AS1	other	hg19
SDAD1	refseq	orycun2
NAAA	refseq	orycun2
PPEF2	refseq	orycun2
USO1	refseq	orycun2
G3BP2	refseq	orycun2
CDKL2	refseq	orycun2
ODAPH	other	hg19
ODAPH	other	mm9
THAP6	refseq	orycun2
RCHY1	refseq	orycun2
GTF2E1.L	other	
T19D2.2	other	
PARM1	refseq	orycun2
PARM1-AS1	other	hg19
BTC	refseq	orycun2
AREG	refseq	orycun2
EREG	refseq	orycun2
EPGN	refseq	orycun2
MTHFD2L	refseq	orycun2
CFIM-25	other	
LOC100354804	refseq	orycun2
GRO-A	refseq	orycun2
LOC103350774	refseq	orycun2
CXCL3	other	
GRO-B	refseq	orycun2
LOC100008921	refseq	orycun2
LOC103350775	refseq	orycun2
PPBP	refseq	orycun2
LOC100008716	refseq	orycun2
CXCL8	refseq	orycun2
LOC108178120	refseq	orycun2
RASSF6	refseq	orycun2
LOC103350776	refseq	orycun2
AFM	refseq	orycun2
AFP	refseq	orycun2
ALB	refseq	orycun2
LOC103350777	refseq	orycun2
ANKRD17	refseq	orycun2
MASK-1	other	
LOC100355311	refseq	orycun2
CEY-3	other	
ADAMTS3	refseq	orycun2
NPFFR2	refseq	orycun2
GLO1.S	other	
GLO1.L	other	
LOC106113523	other	
GLXI	other	
GLYI-16	other	
LOC101505694	other	
T6D22.20; T6D22_20	other	
GLX1	other	
LOC100280481	other	
GC	refseq	orycun2
LOC103350779	refseq	orycun2
SLC4A4	refseq	orycun2
NDAE1	other	
EIF4E.L	other	
DCK	refseq	orycun2
MOB1B	refseq	orycun2
AT4G19045	other	
LOC100356732	refseq	orycun2
GRSF1	refseq	orycun2
LOC108178121	refseq	orycun2
RUFY3	refseq	orycun2
ZFP189	other	mm9
ZFP189	other	
RUFY3.L	other	
LOC103350780	refseq	orycun2
UTP3	refseq	orycun2
JCHAIN	refseq	orycun2
ENAM	refseq	orycun2
AMBN	refseq	orycun2
H1-0	other	hg19
AMTN	refseq	orycun2
LOC108178065	refseq	orycun2
CABS1	refseq	orycun2
CSN3	refseq	orycun2
FDCSP	refseq	orycun2
ODAM	refseq	orycun2
PRR27	refseq	orycun2
CSN1S2	refseq	orycun2
CSN1S2A	refseq	orycun2
LOC103350784	refseq	orycun2
CSN2	refseq	orycun2
CSN1S1	refseq	orycun2
COX6B1	other	hg19
SULT1E1	refseq	orycun2
SULT1D1	other	mm9
LOC100350836	refseq	orycun2
SULT1B1	other	
SULT1B1	other	mm9
UGT2A1	refseq	orycun2
UGT2A3	other	
UGT2A4	other	
UGT2A2	other	
UGT2C1	refseq	orycun2
LOC781988	other	
LOC100359229	refseq	orycun2
UGT2A5	other	
UGT2A6	other	
LOC100351592	refseq	orycun2
LOC103350785	refseq	orycun2
UGT2B5	other	mm9
UGT2B38	other	mm9
LOC105377267	other	hg19
UGT5A4	other	
LOC100338508	refseq	orycun2
UGT2B14	refseq	orycun2
LOC108175393	refseq	orycun2
LOC108178052	refseq	orycun2
LOC103350786	refseq	orycun2
LOC100338077	refseq	orycun2
LOC108175380	refseq	orycun2
LOC100339578	refseq	orycun2
LOC100339835	refseq	orycun2
LOC100351842	refseq	orycun2
UGT2B46	other	
UGT2B	other	
UGT2B31	other	
UGT2B7	other	
UGT2B17	other	
UGT2B35	other	mm9
UGT5G2	other	
UGT2B35	other	
UGT2B36	other	mm9
UGT1A2	other	
LOC108178053	refseq	orycun2
LOC100340258	refseq	orycun2
UGT2A2	other	hg19
LOC100340513	refseq	orycun2
UGT2B10	other	
UGT5A1	other	
UGT2B21	other	
UGT2B37	other	
UGT2B37	other	mm9
UGT2B10	other	hg19
UGT2B16	refseq	orycun2
LOC100340772	refseq	orycun2
LOC108178124	refseq	orycun2
LOC100341030	refseq	orycun2
LOC100341286	refseq	orycun2
LOC100341802	refseq	orycun2
UGT2B20	other	
LOC100342219	refseq	orycun2
LOC646029	other	hg19
LOC108178122	refseq	orycun2
LOC100353365	refseq	orycun2
UGT5B6	other	
LOC100342469	refseq	orycun2
UGT2B34	other	mm9
UGT1A1	other	
UGT1AB	other	
UGT2B22	other	
UGT5B4	other	
UGT5B2	other	
UGT2B1	other	
UGT5C3	other	
UGT2B13	refseq	orycun2
LOC100342980	refseq	orycun2
LOC102126139	other	
UGT2B44	other	
LOC102127013	other	
UGT2B28	other	hg19
UGT5D1	other	
UGT2B42	other	
UGT2B15	other	
UGT2B9*2	other	
UGT2B9	other	
UGT2B41	other	
UGT2B33	other	
UGT2B39	other	
UGT2B45	other	
UGT5C2	other	
UGT5C1	other	
UGT1A5	other	
UGT1A4	other	
UGT1A6	other	
UGT2B1	other	mm9
NR5A2.S	other	
LOC103397689	other	
FTZ-F1	other	
SF-1	other	
NR5A1A	other	
NR5A5	other	
FTZF	other	
NHR-236	other	
NR2F6	other	hg19
ERR	other	
UGT2B4	other	hg19
LOC102123935	other	
YTHDC1	refseq	orycun2
LOC100354881	refseq	orycun2
LOC100355142	refseq	orycun2
LOC100343994	refseq	orycun2
TMPRSS11F	refseq	orycun2
LOC100344499	refseq	orycun2
TMPRSS11A	refseq	orycun2
TMPRSS11D	refseq	orycun2
LOC112268117	other	hg19
LOC100344752	refseq	orycun2
LOC100191298	other	
LOC100815426	other	
LOC100805153	other	
ARL-1	other	
GNRHR	refseq	orycun2
LOC103350789	refseq	orycun2
UBA6	refseq	orycun2
STAP1	refseq	orycun2
CENPC	refseq	orycun2
LOC103350790	refseq	orycun2
LOC100357850	refseq	orycun2
EPHA5-AS1	other	hg19
EPHA5	refseq	orycun2
EK1	other	
LOC103350833	refseq	orycun2
REEP6	other	
TECRL	refseq	orycun2
Y67D8A.2	other	
LOC100130673	other	hg19
PRS4	other	
LOC100337746	refseq	orycun2
1700031L13RIK	other	mm9
ADGRL3	refseq	orycun2
LINC02271	other	hg19
LOC108178066	refseq	orycun2
COX7C.S	other	
LOC100305288	other	
EIF1.L	other	
MBG8.21; MBG8_21	other	
LOC541664	other	
MBG8.2; MBG8_2	other	
LOC100284617	other	
F20D21.11; F20D21_11	other	
LOC100499833	other	
T24A18.80; T24A18_80	other	
LOC100784390	other	
LOC100306129	other	
LOC100499676	other	
LOC100499886	other	
LOC101509984	other	
LINC00408	other	hg19
LOC107922006	other	
SPAC6G10.04C	other	
LOC100164683	other	
PROSALPHA6	other	
LOC100856965	other	
PROSALPHA6T	other	
IGFBP7-AS1	other	hg19
IGFBP7	refseq	orycun2
POLR2B	refseq	orycun2
RPII140	other	
NOA1	refseq	orycun2
REST	refseq	orycun2
SPINK2	refseq	orycun2
HOPX	refseq	orycun2
THEGL	refseq	orycun2
ARL9	refseq	orycun2
SRP72	refseq	orycun2
LOC103350798	refseq	orycun2
PAICS	refseq	orycun2
PPAT	refseq	orycun2
AASDH	refseq	orycun2
KIAA1211	refseq	orycun2
CRACD	other	hg19
CEP135	refseq	orycun2
EXOC1	refseq	orycun2
LOC100349425	refseq	orycun2
LOC103350800	refseq	orycun2
LOC108178127	refseq	orycun2
NMU	refseq	orycun2
PDCL2	refseq	orycun2
CLOCK	refseq	orycun2
TMEM165	refseq	orycun2
CG42542	other	
SRD5A3	refseq	orycun2
KDR	refseq	orycun2
LOC103350802	refseq	orycun2
KIT	refseq	orycun2
METTL14	refseq	orycun2
SEC24D	refseq	orycun2
SEC24C.S	other	
LOC103350838	refseq	orycun2
SYNPO2	refseq	orycun2
LOC108178129	refseq	orycun2
LOC103350837	refseq	orycun2
MYOZ2	refseq	orycun2
LOC101929762	other	hg19
USP53	refseq	orycun2
C15H4orf3	refseq	orycun2
C4ORF3	other	hg19
FABP2	refseq	orycun2
PDE5A	refseq	orycun2
PDE5AB	other	
LOC107986192	other	hg19
CIBAR1	other	
MAD2L1	refseq	orycun2
PRDM5	refseq	orycun2
NDNF	refseq	orycun2
TNIP3	refseq	orycun2
QRFPR	refseq	orycun2
LOC100341884	refseq	orycun2
LSN	other	
UGP2.S	other	
UGP2B	other	
LOC100160720	other	
K08E3.5	other	
UGP1	other	
UGP	other	
ECU03_0280	other	
D1005.2	other	
AGOS_AGL082W	other	
LOC103496813	other	
LOC100191463	other	
SPCC1322.04	other	
LOC100191846	other	
LOC102577726	other	
LOC100382295	other	
LOC107895238	other	
LOC107912877	other	
LOC107916979	other	
ANXA5	refseq	orycun2
ANXA5B	other	
SMIM43	other	
TMEM155	refseq	orycun2
PP12613	other	hg19
EXOSC9	refseq	orycun2
CCNA2	refseq	orycun2
BBS7	refseq	orycun2
METTL14.L	other	
LOC108178055	refseq	orycun2
RPS27-2	other	
LOC103350841	refseq	orycun2
LOC103350842	refseq	orycun2
SLC25A22	other	
SLC25A22	other	hg19
TRPC3	refseq	orycun2
KIAA1109	refseq	orycun2
ADAD1	refseq	orycun2
IL2	refseq	orycun2
IL21	refseq	orycun2
IL21-AS1	other	hg19
LOC108178069	refseq	orycun2
LOC100344427	refseq	orycun2
BBS12	refseq	orycun2
FGF2	refseq	orycun2
NUDT6	refseq	orycun2
SPATA5	refseq	orycun2
SPRY1	refseq	orycun2
LOC101268961	other	
LINC01091	other	hg19
TRDMT1.L	other	
LINC02516	other	hg19
ANKRD50	refseq	orycun2
LOC103350844	refseq	orycun2
TCEA2	other	mm9
TCEA2.S	other	
LOC105384944	other	
FAT4	refseq	orycun2
MIR2054	other	hg19
LOC108178130	refseq	orycun2
LOC108178131	refseq	orycun2
INTU	refseq	orycun2
SLC25A31	refseq	orycun2
HSPA4L	refseq	orycun2
HSPA4B	other	
LOC100196067	other	
TMM85	other	
TMEM85	other	
EMC4.L	other	
PLK4	refseq	orycun2
MFSD8	refseq	orycun2
ABHD18	refseq	orycun2
